USER,CONTENT,DATE & TIME,COMMENTS,LIKES,LOCATION
Ordovician土狸,#燃情西班牙##十一旅游小撇步# 到巴塞罗那肯定得去看高迪的建筑，是他赋予了这座城市灵魂。几个tips：  1. 高迪的建筑门票格外昂贵，即使买通票也要100欧左右，做好大出血准备；2. 务必带上学生证，比起laji的意大利，西班牙的学生票可以帮你节省大把银子； 3. 圣家堂单独买票，一定要提前买，因为当天的票往往买不到 @manic要淡定 收起全文d,2019年09月30日 21:50,评论 , 1,
片桐始建,#旅游大佬#西班牙旅行去过西班牙的人都相信一见钟情作者： #西班牙旅游攻略##巴塞罗那旅游攻略# ​,2019年09月30日 20:47,评论 , ,
国产电影凌凌漆,10：午夜巴塞罗那 豆瓣评分7.8《午夜巴塞罗那》是由伍迪·艾伦执导，斯嘉丽·约翰逊、丽贝卡·豪尔、哈维尔·巴登等人主演的爱情喜剧电影。电影故事发生在美丽的巴塞罗那，讲述了美国女孩维姬和克里斯蒂娜结伴来西班牙旅游。维姬为人古板而且即将结婚，克里斯蒂娜则思想开放、充满好奇心。这两个性格相异的主人公，来到西班牙后，邂逅了一位非常有魅力的艺术家和他美丽但很爱吃醋的前妻。随后四个人之间发生了一系列有趣而浪漫的爱情故事。 收起全文d,2019年09月30日 18:48,评论 , ,
卡姐卡米拉,#巴塞罗那旅行# 的记忆，穿红色遥祝#祖国生日快乐# ～#带着微博去旅行# #今天穿什么#搭配#夏日穿搭术##暑假##卡姐美游##国庆假##为祖国庆生##十一出游好去处##十一国庆去哪玩##欧洲旅行##西班牙旅游##红色##度假怎么穿##度假#卡姐卡米拉 ​,2019年09月30日 18:27,评论 118, 321,
王小小爱画画,VLOG旅行#旅游攻略##旅行##结婚##旅拍##爱享蜜月旅行# 此次来到巴塞罗那除了拍照还要去看一些很有创意的建筑，首屈一指的就是大名鼎鼎的民宅walden7，坐tram3号线能够直达，那一站的名字就是walden7，非常方便。说到美食，不会踩雷的就是这家tapas24，很多很多分店，有点像吉野家的感觉，很赞！ 2西班牙·Restaurant Tapas 24 L李小小爱画画的微博视频 收起全文d,2019年09月30日 17:18,评论 , ,西班牙·Restaurant Tapas 24
牡v小李同学v,商务合作请私信。。。一座教堂和一条街，含盖了这个城市的精髓。有“欧洲之花”美誉的巴塞罗那，有着西班牙温暖热情亲切的民族性，加上与法国的浪漫情调融合在一起，成为世界著名的旅游城市。这里可以看到斗牛士充满阳刚的表演，可以看到足球名宿精彩的射门  #旅游# #带着微博去旅行# #旅行# ​,2019年09月30日 16:13,评论 , ,
莓了鹿,一定要扩散！！想起来之前三四月去旅游 推算起来也正好是在黄体期 在巴塞罗那痛到差点晕厥 眼冒金星 四肢无力 恶心想吐...以为是肠胃炎磕了一堆胃药发现没用 现在想想应该是中度黄体破裂 还好自愈了捡回了一条命👌,2019年09月29日 19:53,评论 , 3,
_橙子同学,「🎄巴塞🇪🇸」(补1月的圣诞欧洲之旅)巴塞罗那的街头和在巴塞的日常·这个城市需要换鲜艳的滤镜🌈之后放景点照你们就知道了嘻嘻··欧洲旅游欧洲旅行#西班牙旅行##巴塞罗那##西班牙##巴塞罗那旅行##西班牙旅游# ​,2019年09月30日 15:57,评论 2, 1,
TIMEVALLEE时光天地,明天就是#黄金周#第一天，您准备要去哪玩？@TIMEVALLEE时光天地 邀您踏上时光之旅，感受异国风情！探索#西班牙##巴塞罗那##英格列斯百货# 对角线旗舰店，与TIMEVALLÉE时光天地精品店#在此时光交汇#！ LTIMEVALLEE时光天地的微博视频 ​,2019年09月30日 12:00,评论 , 4,
maybeway,#燃情西班牙##十一旅游小撇步#到了巴塞罗那怎能不尝一下正宗Tapas，推荐三家Cervecería Catalana、Taller de Tapas、Lateral店，都各有特色 @西班牙国家航空 ​,2019年09月30日 09:23,评论 , 2,
